score,content
1,抗下 所有 罪
1,为什么 我会 郁闷 呢
1,果真 奶妈 养 奶妈 一个 德行
0,中 新 安泰 集团
0,恩恩 好好 表现 哦
0,空间 说 说 以 更新 宝贝 们 点赞 谢谢
1,老公 也 生气
1,那 还 不 快快 安慰 下
0,请问 孕妇 能 吃 香蕉
0,查 一下 疼爱 歌词
0,东仔 喜欢 搞基
0,我心 很 强大 都 快 炸
1,他妈的 温州 佬 吧
0,继承者 们 主要 内容 什么
0,男 安然 我要 权限
1,发送 错 不好意思
0,觉得 应该 换 一个 更 可爱 头像 哦
1,如果 一天 一无所有 会 怎么 对
0,被 封 爱心 赞 谢谢 表情 玫瑰
1,还 怕 绝望
1,小 机器人 你好 迟钝
1,没劲 竟然 不唱
1,做 不 对 不好
0,革命 尚末 完成 同志 还 需 努力
0,毕竟 资本主义 学校 提倡 自由
0,喜欢 机器人
1,不 愿意 直说
1,不好意思 写错 名字
0,谢谢 好受 多
0,沒 感人 話 說 下
0,会 幽默 笑话
1,难过 像 丢 什么 重要 东西
1,就 这个 这 叫 好玩 没劲 不 聊天
1,就是 讨厌 不 娶
1,电池 不 好吃 吃 流氓 吧
1,讲 各 色情
1,羞答答 玫瑰 静悄悄 开
1,应该 说 万恶 群主 坏 啦
1,巨话 成日 为了 小事 就 发脾气 唔 识 同 相处 喔
1,说话 怎么 不 清楚
0,恩 一向 很 聪明
0,反正 知道 心里 最 喜欢 人 不是
0,艥 鞭 灳 由 脯 妒久 加力 孤岛 必要条件
1,来说 接吻 就是 不忠 开始 这太 令人 伤心 不 懂
1,好 无聊 所以 麻烦 您 聊天
1,可怜 猫猫 没人管
0,歌词 情歌 悠扬
0,两代 人 约束 粽子 越多系 顺口
0,请 吃 香蕉 个 吧 啦
1,小飞 很 邪恶
0,哦 哦 也 很 可爱
0,美人 都 硬 不
0,好 听的歌 没 推荐 几首
0,小 真不愧是 个 机器人
0,我要 天天 吃 方便面
1,为 什么 受伤 总
0,如果 最好 朋友 喜欢 人 她们 背判 会 怎么 做
1,咳嗽 好 辛苦
0,先赞 去 时间 聊 哦
0,不错 很 想法 我学 做菜 吧
1,嘻嘻 喜欢 欺负
1,嫌弃 智商 高
0,爱 上 一个 人 该 咋办
1,小 年初 就 骗 初吻 表情 害羞
0,跟 说 个 开心 吧
0,函数 难 不难
1,恨死 不 跟 玩 哈
1,中国 近代 签署 第一个 不 平等 条约
1,娶 个 自私 媳妇 不如 有个 重义 兄弟
1,不 器人 说话
0,中国 最高 大楼 什么 意思
1,花伶 伤心 离 我们 而 去 大家 哀默 分钟
0,如果 能 帮助 更 多 人 弟弟 荣幸
0,来个 捧腹大笑 笑话
0,其实 跟 聊天 比 跟 人 聊天 有意思 小 机器人 儿 哈哈
1,马上 去 死 好
0,聊点 别的 吧 知道 癌症 怎么 治疗 最好
1,无所谓 先 订婚
1,下雨 好烦 又 怕 出门 晚上 没有 车 回来 真想 去 借车 开 又 怕 技术 不行
1,无情 可 不能 走 我们 都 爱
0,哪个 破解 稳定 谁 说 哈
1,非礼 一下 行 不
1,可是 人类 情感 太 复杂 那么 笨
1,哦 哦 表情 委屈
0,我要 梦想 前 放 歌词
1,现在 听 说 晕死
1,这个 孙女 好烦 不听话
0,查看 柏 栩栩
1,喜欢 就是 爸妈 不 同意
0,隆重 介绍 下 炮哥
1,谢谢 但 不好 笑
0,同学 喜欢 上
0,夏天 喜欢 好久
0,喊声 爸爸 就 原谅
1,群主 参加 色情 活动
1,又 忽悠 认了
0,大家 玩 开心 去 输液 去
0,哇塞 群里 好多 美女
0,繁华 美丽 开 视频 不敢 接么
0,努力 努力 说 得 轻巧
1,原来 也 不 文明 还 说
1,骂 完人 还 说 自己 好人 太 可恶
0,喜欢 体育 篮球 啦 乒乓球 啦
0,那 点 给 优惠 哦 哦
1,剑哥 晒化 来 贷款 还 不行
1,姐快 无聊 死
1,观察 不 到位 都 没 发现
1,霸道 小 三 配对 指数
0,谢谢 一起 数 可以 监督 免得 数错
1,那个 爸爸 他 个 骗子 他 骗
0,苹果 手机 好 开始 崭新
0,发给 他 分摊 费用 投入 天通苑
0,哎 也 喜欢 英语
1,哪远 死 哪 去 哇 真 无聊
0,那 找个 有趣 话题 聊哈
1,一加 多余 多少
1,咯哈 嫉妒 嫉妒 对
1,说 听说 会 骂人 为什么 要说 太好了
1,失眠 数羊 不管 用 呢
0,顺口溜 要说 不要 打字
0,呵呵 聊天 真闷
1,什么 事 都 做 不好 被 开除 来 鼓励 几句
1,开毛 一点 不好 笑
0,小坏 乖乖 好看
0,给 一个 幸福 拥抱 群友 一起 泡温泉
1,觉得 无聊 透顶 才 会 找 聊天
1,最近 笑容 贱得 一塌糊涂
0,同意 邀请 加 这个 群 人
0,麻雀 要 革命
1,姓名 配对 凌风 垃圾桶 爱乐 小米
0,经历 最 值钱 呐
1,小亮 不好 就 知道 走私
0,很 文明 宝贝
0,娟 娟 晚安
0,叫 什么 叫 依依
0,可 推 可靠 可 调教
0,好好 休息 一下 养 养神 啦 明天 回来 可以 正常 一点
0,信誉 互赞 求 主动 赞有 赞必回 漏赞 私密 长期 信誉
1,不 对 可 多
1,他 也 弱智
1,不好 笑 想 打 嘻嘻
1,浪费 流量 很
1,这 歧视 扣扣 号长
0,貌似 很 有趣
1,电线 贝 猜 人 聊天 投诉
0,还要 通过 人
1,咋 那么 惆怅
1,一群 龌龊 男生
0,够 可爱 谁 娶 名字
1,那 怎么 这么 反感
0,最最 喜欢 明星
0,高兴 不 起来 哎
0,也 太会 夸奖 人
0,什么 资格 尊重
0,微笑 没说 一边 去
0,恶魔 遗迹 可能 好人
0,有人 进群 要说 欢迎
1,女人 喜欢 男人 操穴 穴
0,把 对 思念 写 海角 上 寄给 那年 七号 雨季
1,不好 笑 拖下去 斩 操
1,那 不 高兴 时候
0,觉得 还是 冒版 可爱
0,大理 太 老实
0,计划 萨克 大家 哈 实际 发货地 哦 萨哈夫
0,快 来 膜拜 来
0,喜欢 开往 上海 火车票
0,喜欢 就是 一种 感觉 感觉 喜欢 就 喜欢
0,大家 最好 别 爆粗
0,那 一个 人 谈恋爱 如果 因为 距离 感情 会 变淡
0,很 聪明 唱 一首歌
1,无聊 中该 干什么 呢
0,说 说 快乐 感觉
0,怎样 学好 物理 呢
1,叹气 惊讶 想起 天涯
0,问 个 高深 问题 检测 智商
0,觉得 很 很漂亮
0,健康 北京 几点钟 播出
0,认为 什么 家园 游戏 最 好玩
1,把 答案 一起 发表 出来 不好
1,花 花心 姐
0,晚上 他 给 夜猫 讲 悄悄话 吧
1,不 对 不 叫 小 叫 翁 弘山
0,要 好好 学学
1,都 说 无聊 还发 什么 一样
0,关注 最后 一句 不要
0,爱情 感人 日志
0,那 很 不错
1,新 时代 雷 旧时代 雷锋 已经 过时
0,帮 忙 谢谢 都 不 说
0,就是说 本事 大 无所不能
1,不好 那 就 等 饿死
1,这 版本 红眼 很强
0,能 正常 点 麽
1,同样 方法 别人 可以 就 不行
1,硬件 很 受伤
0,可爱 小 潘
1,对于 欺骗 感情 人 该 怎么 做
0,最新 国内 时事
1,妈 怎么 骂 女神
0,今天 真的 情人 相约
1,伤 心 请 不好 该 干嘛
0,怎么 个 有意思 法
1,那样 好 难过
0,通过 聊天 开心
0,娄底 至 深圳 西 火车
0,国际 流 欢迎
0,广东 双 刷 一单 要求 真实 发货 帮 签收
0,谁 发明 这么 牛 逼
1,那 就是 刚才 回答 不好
1,会 为 难过 而 难过
1,骄傲 跳个 舞 吧
0,还是 可爱
0,太君 喜欢 婉婧
1,错误 促 业务
1,豹 把 你们 家灯 打开 吧 这样 很 恐怖
0,买 什么 短裤 更好 看
1,一个 朋友 生气 说 改 怎么办
0,还 可能 便宜 点
0,梦 小姑 以后 别太 客气
0,喜欢 又 能 怎样
0,激动 个 毛毛
0,和 我 说 晚安
0,那 赶紧 把 旺 财放 出来 吧 它 比 可爱多
0,糸 觉得 自由党 还是 保守 但
0,从来 欢迎 新 朋友
1,默默 我要 投诉
0,可以 用 歌声 诱人
0,玲珑 妹 你好
0,维护 友谊 啦
1,我们 老师 好像 有点 讨厌
1,自恋 悲哀 没人 说 靓 竟 说 蟋蟀
1,猪 猴 都 病
0,伟 谢谢 萌萌 真好
1,点 四亿 可怕
1,人缘 那 不好
1,还 伤心 有心 没
0,千 很 可笑 吧
0,大家 回赞 嘛
1,对 女 才 用 温柔 对 用 真 矫情
0,可爱 的 美女
1,那 头像 有点 邪恶
0,创建 亡灵 女 完全 人物 创建
0,发现 嘟嘟 真的 不错
1,为什么 人 都 烦恼
0,下次 看清楚 再 发
0,笑话 好玩 吧
1,还 聪明 看 就是 个 蛋 而且 笨蛋
0,那 觉得 还有 谁 漂亮 呢
0,百荷 晚上 做 什么 好吃
1,山 妹妹 不好
0,长 实在 恋爱
0,呵呵 把 搞 开心
0,这里 站 街 全透明
0,美女 还是 目的
0,正常 聊天 呗
0,就 喜欢 东北 人
1,我家 有人 不 方便
0,小仇 把 纯净水 踢掉
1,太 吵 我要 投诉
1,不行 这里 国营
1,工具 猜出来 但 都 错误
1,国耻 不能 忘
0,知道 一个 人太 过于 幽默 会会 很
1,手提 着 几 糊涂
1,都 打 恶心
0,完全 不 懂 这 干 啥子
0,说 都 木 好笑
1,到底 反感 她 什么
0,一世 风流 为 谁 演
1,搜索 一站 到底 零星 期
1,过时 听 过
0,怎么 可能 第一 阿
1,哦 我错 不 应该 说 粗口
0,那 狗 好好 不得
0,那么 喜欢 什么
0,地球 也 不错
1,也 不 清楚 谁 记得 小时候 事
1,无所谓 就 看 谁 买
0,我们 能 成为 最好 朋友
1,怎么 感觉 个 神经病 呢
0,就是 问 什么 好看
1,恨 你们 我会 记住 你们 日
0,喜欢 玩日 游戏
1,多人 视频 也 顶 不满
1,能 帮 查下 信息技术 对 人类 消极 作用 能 帮 举些 例子
0,小姐 漂亮 漂亮
0,呵呵 谢谢 没什么 事
1,荒凉 出来 教 大家
1,说话 没用 要 真实 地 做
0,喜欢 看 空间
1,兄弟 很 无聊
0,谢谢 给 带来 快乐 再聊
0,小 喜欢 上 一个 人 可是 他 却 离 很 遥远 怎么办 呢
1,那 为什么 总会 有人 受伤 呢
0,屎 还有 开心 呢
1,回答 问题 对 很 失望
1,骗人 不会 唱
0,可爱 尼 个头
0,哪 一把 好用
0,围绕 珍惜 时间 写作文 该 怎么 写
0,迷人 不要 跑
1,不行 必须 找对象 就是 老婆
0,某些 人 把 真心 当做 胡言 事
0,他 比 还 好玩 些
1,应不应该 向 表白
0,群主 魅力 拉 出来 美女 们 最 听
1,浑身上下 都 恶心
1,没用 自家 兄弟 哪 都 不 知道
1,不 应该 只 看到 好 一面 不好 一面 也 应该 看到
0,心情 好点 美丽 一场 残雪 一份 爱 小姐
1,没意思 来 打手 分钟 抓 个
0,进 默默 认为
1,把 自己 身体 着 不好 靠
1,不好 听 给 讲 因地
0,小指 勾 拉拉 手 欢迎
0,帮个 美女 多少 钱
1,怎么 这么 傻 可爱 呢
0,老婆 情人 请 正面 回答
0,提前 轻轻 轻轻 轻轻
1,没意思 就 不要 聊
0,余温 紧到 发 喜欢 迈 上 就是
1,今天 纳闷 一年 没 开心
0,赞 解封 速度 赞 晚上 回
0,很 单纯
0,配对 强哥 美女
0,根本 就 没 聊天
0,谢谢 大美女 准备 休息
1,鄙视 完 还 没 洗手 呢 着急 啥
1,楼上 有人 投诉
0,以前 喜欢 庚澈
0,翻译 祝 小贝 生日快乐
1,花 妹 别 草草
1,心疼 锅 居
0,现在 会 那里 呢 好 想念
0,毕志胜 喜欢 小雪
1,欺骗 不 相信
0,就 喜欢 机器人
1,男生 花心 不 实话
0,要 能 挂 很 开心
0,我俩 清白 对
0,喜欢 这 首歌
0,根本 没 思想
0,说 太 深奥 没 懂
0,机器人 就 瞎 巴结
1,自己 在家 太 没意思
0,这里 好像 很 安静 哦
1,清舞韵 竹 一直 挺 疯狂
0,嗯 嗯 明天 又 能 见到 他 真 开心
1,为什么 女人 也 花心
0,切 就 聪明
1,头 不 对 马马
0,呵呵 呵呵 聊聊 觉得 好好 哦
0,清澈 视频 往下点 看看
1,就要 生气 嘛
0,美女 什么 客服
1,嫌 无聊 不 高兴
0,嗯 上海 什么 好吃
1,霸道 什么 东西
1,去死吧 要 吃 时候 叫
1,尼玛 语音 怎么 不行
0,雪儿 香香 都 漂亮
0,笑容 给 风铃 美女 改 下 马甲
0,汗 喜欢 个人 怎么 班
1,一兆 个 猥琐
1,歌词 男人 伤悲
0,尽管 放 旺财 挺 可爱
1,无聊 删掉 算了
1,草拟 也 想 当 机械 人
1,越级 挑战 谁 说 不能 赢
0,玲珑 姐姐 好
1,兔兔 难受 死
1,滚 说 都 废话
1,哦 那 还 真 可惜
0,我要 去 体育中心 怎么 走
1,风景 好 空气 好 就是 心情 不好 啥 没 闻到 不是 瞎说 来
0,好玩 微 信号 没有
0,我快 过生 给 说 生日快乐 呗
0,进来 人 看看 好使 不
1,失恋 谁 丫
1,神话 好 可怜
1,害 这么 担心
0,哦 多谢 笑话
0,机器人 主要 负责 广告
0,好 吧 这下 正确
1,恩 理解 能力 就是 没理
1,我会 不好意思 别太想
0,好 喜欢 做爱 感觉
1,至少 知道 芒 什么 弱智
1,没意思 找个 女 撸 两下
0,老婆 身高 好 矮 好 喜欢 他
1,唉 对 绝望
0,天生我才 必有用 噻
0,应该 怎么 美女 全文
1,面具 骂人 挺 牛
0,群 总督 钻 钻 朋友妻 最好 骑
0,小萌 好 小萌坏 小萌 跟 别人 谈恋爱
1,真是 早点 承认错误 不 就 好
0,噗 好听 换 一首
0,这个 意见 不错 嘻嘻
0,谈过 几 恋爱
0,裤子 也 不错
0,很 高兴 小 是磊子
1,老 无聊 吧
0,要是 满足 不了 呢
0,可 就 喜欢 买
1,低能 不止 一辈子 还有 下辈子
0,其实 一个 朋友 她 这 人 挺 有意思 她 人 很 不错 哦
1,感叹 人生 拉 拉
1,小婷 说 你好 无聊
1,被 投诉 次
1,榆木脑袋
0,属于 哪 种 类型 美女 呢
1,轮回 昨天 非礼
0,都 喜欢 逗 机器人
0,那 美女 去 哪
0,拜托 正常 点好
0,说 小 很 聪明 机器人
0,什么 好看 耽美 小说 推荐
1,很 难看 哪本 好看 笑 一个
1,想 说 无聊 时候 做 什么 会 比较 好
0,美女 给 一个 级别 高 宠物 行 不
0,设计 人真 聪明
0,兄弟 多来 几个 拿手 歌曲 俺们 耳朵 欣赏
1,什么 神经 吧 吵死 操
0,那条 理性 好
0,十分 同意 观点
1,小十 太小 气
0,亏 什么 都 知道 呢 这个 还 算 深奥
0,海淀 牡丹园 附近 什么 好吃
0,洋葱 就是 一种 男人 凡凡 就是 一个 美女
1,流 两次 鼻血 真 可怕
1,说 你好 重 感到 吃惊
1,男朋友 脾气 不好 想 跟 他 分手 怎么 看
0,喜欢 带套 呢 还是 不带 套 呢
1,都 带 一身 垃圾
0,就是 喜欢 才 没道理
1,昨天 说 不下雨 真的 没 下雨
1,牛头不对 嘛 嘴
0,时间 好好 看看 必中
0,群 小妞 中山 知足 他 白眼
1,今晚 不 方便 看
1,再发 就 没劲
1,那 机器人 才 会 陪 吹牛
0,龙岗 附近 什么 好玩
1,非常 讨厌 话题 都 没有
0,祝你平安 歌词 中文版
0,希望 大家 踊跃 上麦
0,最 崇拜 歌星 谁
0,现在 反应 良好
0,下体 很 团结
1,红阵加 魔攻 绿阵 见怪 防
0,还 喜欢 你姐
0,喜欢 穿 什么样 丝袜
0,草有 坚韧 日有 刚
0,得 手机 安全 中心 验证 所以 慢
0,喜欢 他 怎么 给 他 说
0,咬一口 大唐 狮撒
1,不好意思 已经 不 地球
1,好 郁闷 该 怎么办
0,富商大贾 开发 合适 机会
0,好 安静 你们 不要 跑
0,小 馋猫 喜欢 谁
1,郁闷 哪里找 那些 小 段子
0,等 有钱 下次 晚上 去 大化
0,实际上 就是 一个 老板 干
1,那 还是 悲哀 八零八贝爷 价格 便宜
0,那 喜欢 你行 不
1,查 内疚 歌词
1,如果 你们 不 愿意
0,自由 再 叫 第一个 把 踢
0,最新 会议 网
1,嫩 两真 无聊
0,喜欢 振华
0,可以 介绍 几个 美女 给 那
0,知道 啥 叫 文明 嚒
1,抢劫 小智
0,翻译 英文 早上好
1,只是 会 复制 只会 说 无聊 重复 的话
1,所以 怀疑 他 儿子 是不是 他
0,帅哥 饭 依然 特 不 专业 怎么 行
0,还有 什么 好用 功能
0,俺 现在 明白
0,会 好吃 先 给 吃
0,新闻 嫣然 不 看 啦
1,在家 好 无聊 想 朋友 们 想 上班
0,回答 问 根本 无关
1,残酷 殴打 没有 什么 起来
0,九龙 一个 美丽 得 地方
1,胸口 堵住 怎么办
1,比如 把 暗黑 里 装备 样子 放到 千年 里
0,看 表姐 大姨 顺口溜 客串 一下 并 于
1,雪儿 不好 使
0,挺 成熟 发育 完全
0,那 明天 约 朋友 逛街 吧 好好 放松 做 演员 很累
0,恩 好 吧 先 谢谢 谢谢
0,祝福 大家 晚安 英语 怎么 说
0,修改 名片 逍遥 雅思
1,好烦 能 不能 开导 一下 呢
0,所以 谢谢 拉歌赛 呢
1,人家 看 不爽 不 回答 对 吧
0,喜欢 谁
0,米 乐乐 好 可爱
0,给 美女 帅哥 讲 笑话
0,错字 能看懂 嘎嘎 真 聪明 睡觉
0,也 谢谢 尊重
0,什么 文明 丫
1,萌萌 主人 不 高兴
0,呵呵 呵 自然 你好
1,缺德 我们 就 结婚
1,哪里 痛苦 机器人 哎
0,能 把 故事 说 完整
0,喜欢 用 英文翻译
0,或者 完全 消失
1,霸道 姐 不 地道 哦 自己 玩 不 给 我们 兄弟 看看 嘛
0,你好 自恋 哦 谈过 恋爱
1,对 嘛 不 对 哦
0,欢迎 傲雪 依风
0,好 吧 诚信 互赞 有赞 必回
0,现实 点 都 明白人
0,呦 你好 可爱 给 姐姐 笑 一个
0,喜欢 身材 女人 还是 没有 身材 女人
1,也 无聊 哈哈
1,破 虫子 你好 烦
1,那 可 打 麻烦
0,呵呵 谁 对 最好
0,只要 开心 发 什么 信息 都行
1,心碎 要 接麦
0,喜欢 这样 安静 唠嗑
0,大笑 大笑 啥
0,记错 拉 咱 如意 擦 四个 怕 等待
0,很 诚实 知道 我帅
0,元宵 快乐 噢
0,瞪 着眼 说瞎话
0,大饼 好吃 不
0,想 什么 好玩
0,跟 郭乐均 一个班 吧
1,打 自己 该 背时
0,那么 好看 机器人
0,求 美女 姐姐 聊天
0,大后天 真的 有雨
0,干嘛 老 喜欢 用谷歌
0,朋友 发来 图片 觉得 好玩 才 关注
0,反正 月 有钱 怕 什么
0,爱 希望 快回到 身边
1,脑子 还有 一个 脑子 不 清楚 娘娘 还 跟 搅沫沫
0,天 哥哥 超 幽默 校花
0,大 实话 精神
0,蚂蚁 身材 完美
0,夸奖 路路 孙权
0,主要 数据 给力
0,规范 法国 恢复 规划 规范 法规 法国 法规 规范化 股份
1,不好意思 说 有点 多 再见
1,等等 要 干 一件 及其 猥琐 又 淫荡 事 要 不要 一起
0,想 给 赞 一个
0,设置 热点 查询
1,啧啧 谢谢 傻 逼 关心
1,东 北四环 堵车
1,来看 悲 催 世界
0,好 真 好 朋友 情 很 喜欢 乐园 子里
0,可能 她 看电视
0,夫妻 交友 方便
1,就是 一个 废物 没用
0,呵呵 多 大 男 女 干嘛 好奇 嘿嘿
1,哎哟 好 惊讶 哦
0,就 很 方便 哦
0,可以 发个 好笑 一点 过来
0,任君 言之凿凿 当 繁华 拜 尽 终究 一场 落寞
0,要 喝 饮料 给 空运 一杯 无毒 无污染 纯天然 要 不要
0,神 正常 体温 多少
0,会 正常 点 说话 不
0,比 他 好看 多
1,不 同意 也 同意
0,猫猫 喜欢 小小
0,小 二 喜欢 铭儿
0,狼 江湖 要 美女 机器人 讲 乍 办 给 变个 美女吧
0,快点 跪下 膜拜
0,最 可爱 善良 聪明 大方 乖巧 伶俐
0,喜欢 哪个 出来
0,一下 说好 多个 听听
1,紫馨 人品 勉勉强强 要 自己 好自为之
0,发个 美女 号 给
1,唉 爱情 太 人 受伤
0,这年头 群 都 先进 还有 小秘
1,讲个 弱智 笑话
1,说 长点 行不行 拜托
0,大 金 空调 便宜
1,我能 这里 骂人
0,依依 女生 名字
0,想 进 全球 顶级 群
0,事实上 它 不是 句号
0,就 认命 吧 承认 自己 命贱 又 不是 什么 困难 事
0,小金 眼力 不错
0,也 支持 他
1,不 结婚 的话 就 去 死
0,帮 找 好听 情侣 网名
0,支持 何时能 超越 神 境界 可 别忘了 带 环游 一圈
0,能 帮 找 好吃
0,这 都 美女
1,夸 说 不 文明
1,呆呆 有点 傻
1,教训 也 配
0,说 希望 自己 人 不
0,特价 收 私人 徒弟 包进 徒弟 群 技术 没 说
0,吆 这么 谦虚
0,可爱 小 喵 咪 苗
0,水墨 浪漫 漂亮 不
0,算了 能 告诉 世上 最 好吃 东西 什么
0,小 水 聊起 真 开心
0,庆祝 啥 哇
1,看着 他 别的 女人 打打闹闹 心里 好 难过
0,阿天 可能 跟
1,不好意思 想 吃
0,裸照 好看 嘛
0,美女 疼痛 进来
1,无 语 这个 功能 怎么 不行
0,机器人 最 可爱 对 吧
0,女人 自慰 舒服 还是
0,呵呵 听 说话 好 幽默
0,主人 今天 会 一切顺利
1,恋恋 被 人 强奸
0,海梦 方便 秀个
0,拉 进群 同意
0,再 过 一天 可能
0,为什么 喜欢 人 都 不 跟 说
0,也 懂 有时 还 陶醉 其中 呢
0,那 美女 帅哥 哦
0,教 说 一些 说 给 女友 好听 的话 能 她 开心 就行 越多越好
0,老婆 章子怡 谁 漂亮
0,达州 温柔 也 来 一首
0,姐是 美女 不
0,好听 多 介绍 几首
0,怎么 只是 喜欢 吖
1,人渣 中 战斗机 败类 中 脑子 被 闪电 霹了
0,给 推荐 个 好看 电影
1,这样 说 很 生气
0,低调 风秀 妹
1,胆小鬼 尼玛 不敢 来
0,用于 怎么 说
1,害怕 陌生 环境 陌生 人 做 陌生 事
0,幸福 一定 喝醉 过
0,中译 日 梦想
1,同桌 也 失恋
1,感觉 不 合适
1,考 不好 怎没办
1,一个 位 朋友 闹别扭
1,第一次 想 骂人 冲动
0,一天 最 正确 睡眠 时间 几个 小时
1,那 不行 得
1,给华哥 讲个 不像话
0,很 满意 很 满意
1,无 语 不好玩
0,最 喜欢 那个 男主角
0,今天 工作 不错
1,脑袋 有病 还是 咋 滴
0,觉得 挺 聪明 再见
0,中国 女星 当中 谁 最 漂亮
1,哥们 现在 心情 不 美丽
0,吃 什么 才能 对 眼睛 好 呢
0,好 漂亮 附件
0,但 喜欢 搂 着 异性
0,好 吧 什么 标准
1,晕死 改 个 签 而已
1,美 一定 男孩子 还 不好
0,惊喜 给 什么 最好
0,必须 成熟 稳重 帅气
0,喜欢 他 却 不能 他 一起 因为 自己 没 机会
0,全国 互赞 联盟 怎么样
0,帮 我查 一下 上海 广州 机票 什么 时候 最 便宜
0,想念 家 感觉
0,怎样 判断 一个 人 是否 真心 爱
1,看 很 难过
1,那 还 陌生人
0,恩 装 可爱 我要 机器人
